监管文件编号,主题,标题,发文字号,文件来源,正文状态,立法依据,条款引用,备注,子主题
RFN-344cac5f135b22be,T1销售行为与消费者保护,关于印发《保险兼业代理管理暂行办法》的通知,保监发[2000]144号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用5条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-c80e1ebc19b1b605,T1销售行为与消费者保护,关于分红保险销售人员从业年限条件的通知（已废止）,保监发[2000]252号,nfra,完整,无显式立法依据,分红保险管理暂行办法第九条,条级引用1条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-127e28adb342a8cb,T1销售行为与消费者保护,关于规范人身保险经营行为有关问题的通知（已废止）,保监发[2000]133号,nfra,完整,保险法(法律),,条级引用0条/文件级引用2条/自身条款0条/最高层级依据法律,S2销售误导
RFN-255f2ffb3344ec7f,T1销售行为与消费者保护,关于贯彻执行保险中介机构管理规定有关问题的通知,保监发〔2001〕195号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-e85247e670b4cf47,T1销售行为与消费者保护,关于调整投资连结保险销售人员资格限制的通知（已失效）,保监发〔2001〕137号,nfra,核心要点,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-3ff60475d67decf3,T1销售行为与消费者保护,关于加强保险代理业务管理有关问题的通知,保监发〔2001〕158号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-37187a0550e339b8,T1销售行为与消费者保护,关于保险兼业代理机构外设网点合规性等问题的复函,保监办函〔2003〕136号,nfra,完整,保险兼业代理管理暂行办法(部门规章),,条级引用0条/文件级引用3条/自身条款0条/最高层级依据部门规章,S3银邮渠道
RFN-9518bd88f7bb8ae5,T1销售行为与消费者保护,关于加强银行代理人身保险业务管理的通知（已废止）,保监发〔2003〕25号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S3银邮渠道
RFN-808e4d5936f1598e,T1销售行为与消费者保护,关于保险营销员工商登记有关问题的通知（已废止）,保监办发〔2003〕90号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用2条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-b2aa69abdc44dd7a,T1销售行为与消费者保护,关于妥善处理人身保险新型产品客户投诉有关问题的通知（已失效）,保监办发〔2003〕24号,nfra,完整,中华人民共和国保险法(法律); 人身保险新型产品信息披露管理暂行办法(部门规章),中华人民共和国保险法第一百二十八条,条级引用1条/文件级引用2条/自身条款0条/最高层级依据法律,S5消保/信息
RFN-f9f3907f57cda0c0,T1销售行为与消费者保护,关于发布保险中介从业人员职业道德指引的通知,保监发〔2004〕143号,nfra,完整,中华人民共和国保险法(法律),,条级引用0条/文件级引用4条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-1ece336900ef4ca6,T1销售行为与消费者保护,关于落实《国家税务总局中国保险监督管理委员会关于规范保险中介服务发票有关问题的通知》的通知（已废止）,保监发〔2004〕57号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用4条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-7513caa410e286c5,T1销售行为与消费者保护,关于规范银行代理保险业务的通知,国税发〔2004〕51号,nfra,完整,中华人民共和国保险法(法律); 国家税务总局、中国保监会关于规范保险中介服务发票有关问题的通知(规范性文件),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据法律,S3银邮渠道
RFN-6106eb1cfa89c082,T1销售行为与消费者保护,关于印发《保险中介机构外部审计指引》的通知,保监发〔2005〕1号,nfra,完整,中华人民共和国保险法(法律); 保险中介公司会计核算办法(部门规章),,条级引用0条/文件级引用6条/自身条款0条/最高层级依据法律,S1人员/中介
RFN-eb50909f70be5f39,T1销售行为与消费者保护,关于加强保险公估机构管理的通知,保监中介〔2005〕619号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用12条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-db6909510692f430,T1销售行为与消费者保护,关于加强万能保险销售管理有关事项的通知,保监发〔2005〕94号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S2销售误导
RFN-e8c0d6c9e201231a,T1销售行为与消费者保护,关于规范寿险公司赠送保险有关行为的通知,保监发〔2005〕98号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-399edab2a63677f2,T1销售行为与消费者保护,关于规范人身保险业务有关问题的通知,保监发〔2005〕22号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-3bb7e36bdf374796,T1销售行为与消费者保护,关于明确保险营销员佣金构成的通知,保监发〔2006〕48号,nfra,核心要点,无显式立法依据,,条级引用0条/文件级引用1条/自身条款0条/最高层级依据无显式依据,S1人员/中介
RFN-778619b33b988a39,T1销售行为与消费者保护,关于规范保险经纪、公估机构法人许可证期满换发流程的通知,保监厅发〔2006〕48号,nfra,完整,保险代理机构管理规定(部门规章),保险经纪机构管理规定第三十一条; 关于加强保险公估机构管理的通知第一条,条级引用2条/文件级引用5条/自身条款0条/最高层级依据部门规章,X机构/数据
RFN-e66b61bef8b5b765,T1销售行为与消费者保护,关于促进农村人身保险健康规范发展的通知（已废止）,保监发〔2006〕105号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用0条/自身条款0条/最高层级依据无显式依据,S5消保/信息
RFN-716a2ec78544f772,T1销售行为与消费者保护,保险销售从业人员监管办法,保监会令〔2013〕2号,nfra,完整,无显式立法依据,,条级引用0条/文件级引用4条/自身条款5条/最高层级依据无显式依据,S1人员/中介
RFN-31e260aef067c3a4,T1销售行为与消费者保护,关于印发《保险营销员诚信记录管理办法》的通知,保监发〔2007〕98号,nfra,完整,保险营销员管理规定(部门规章),,条级引用0条/文件级引用9条/自身条款1条/最高层级依据部门规章,S1人员/中介
