监管文件编号,主题,文件名,发文字号,匹配源,决策,置信度,A强信号关键词,B销售代理关键词,C泛化关键词,X排除关键词,命中摘录,可用正文长度,全文状态
RFN-00181c1a550be989,T8机构准入与组织监管,关于各保险公司要加强对保险代理机构设置远程出单点和委托出单管理的通知（已废止）,保监发〔2001〕161号,nfra,BOUNDARY,低,,,保单|保险公司|保险公司分支机构,,[title]…关于各保险公司要加强对保险代理机构设置远程出单点和委托出单管理的通知（已废止） 保监发〔2001〕161号。各保险公司：。最…,1533,已提取-可全文
RFN-0079d4f412525405,T4公司治理与股权关联交易,关于加强财务资金管理的通知,保监寿险〔2005〕680号,nfra,INCLUDE,中,寿险,,,商业银行,[meta]…关于加强财务资金管理的通知 保监寿险〔2005〕680号。各寿险公司：。近日我会接到报告，反映某寿险中心支公司严重违反财务制度，将邮储代理保费归集…,1413,已提取-可全文
RFN-009f8e408aa5c4d5,T6养老与健康保险专项,关于修订《中央财政城乡居民基本医疗保险补助资金管理办法》的通知,财社〔2022〕1号,mof,EXCLUDE,—,,,,,,7068,已提取-可全文
RFN-00a507b7a4c33c1d,T5资金运用与资产负债管理,中国银保监会关于保险资金投资有关金融产品的通知,银保监规[2022]7号,nfra,EXCLUDE,中,,,保险公司|保险机构|保险资产管理|保险资金|偿付能力,信托公司|商业银行|基金管理公司|证券公司|金融资产,[meta]…管理委员会令2018年第1号）及相关规定，现就保险资金投资金融产品有关事项通知如下：一、本通知所称金融产品是指商业银行或理财公司、信托公司、金融资产投资公 资金部    各保险集团（控股）公司、保险公司、保险资产管理公司：各保险…,7138,已提取-可全文
RFN-00ecff9dba1fd0f9,T9风险处置与案件合规,关于贯彻落实《保险公司中介业务违法行为处罚办法》有关事项的通知（已废止）,保监发〔2009〕112号,nfra,EXCLUDE,中,,,保险公司|保险机构|保险消费者,保险中介机构,[body]…管、防范风险的大局下，必须旗帜鲜明地严厉打击保险公司中介业务中的违法违规行为，在重点查处保险公司的前提下坚持对保险中介机构同查同处。《办法》的出台是保险监管机构坚决依法整治保险公司中介业务违法违规问题的重要信号，是规范市场秩序的有力…,2951,已提取-可全文
RFN-0101b070be1f1aa2,T1销售行为与消费者保护,《关于开展保险公司销售从业人员执业登记数据清核工作的通知》,银保监办发〔2019〕71号,supp,INCLUDE,中,,保险销售从业人员,保险公司|保险销售|分支机构,,[meta]…中国银保监会办公厅关于开展保险公司销售从业人员执业登记数据清核工作的通知 执业登记数据清核（依据《保险法》《保险销售从业人员监管办法》《中国保险统计信息系统对接标准》）：清核目的（源头数据质量/摸清队伍实情/落实管控责任）；清核对象（…,6642,已提取-可全文
RFN-012051479f38bb44,T8机构准入与组织监管,关于保险公司地市级分支机构命名等有关问题的批复,保监法规[2007]1497号,,—,—,,,,,,0,未在五源cleaned收录
RFN-016dac5aac5d3dd6,T4公司治理与股权关联交易,中国保监会关于印发《保险公司声誉风险管理指引》的通知,保监发〔2014〕15号,nfra,BOUNDARY,低,,,保险公司|保险资产管理|偿付能力|分支机构,,[title]…中国保监会关于印发《保险公司声誉风险管理指引》的通知 保监发〔2014〕15号。各保监局、各保险公司、保险资产管理公司、中国保险行业协会：…,7139,已提取-可全文
RFN-01c98ce91fa76f9c,T5资金运用与资产负债管理,关于严禁保险公司以大额协议存款出质为他人提供担保的通知（已废止）,保监发〔2002〕110号,nfra,BOUNDARY,低,,,保险公司|保险资金|偿付能力,,[title]…关于严禁保险公司以大额协议存款出质为他人提供担保的通知（已废止） 保监发〔2002〕110号。各保险公司：。为进一步规范保险公…,654,已提取-可全文
RFN-01e25fd1bd2c5bc5,T9风险处置与案件合规,中国保险监督管理委员会关于修改《中国保险监督管理委员会行政处罚程序规定》的决定,N/A,nfra,EXCLUDE,中,,保险兼业代理,保险公司|保险公司分支机构|保险机构|保险营销|保险资产管理|分支机构,保险中介机构|保险公估|保险经纪|保险经纪机构,[body]…本规定所称业务许可证，是指保险公司法人许可证、经营保险业务许可证、保险营销服务许可证、经营保险代理业务许可证、保险兼业代理业务许可证、经营保险经纪业务许可证、经营保险公估业务许可证、保险资产管理公司法人许可证和经营保险资产管理业务许…,17799,已提取-可全文
RFN-01f0ad6d44e1fe03,T2产品与精算制度,关于普通型定期寿险、普通型终身寿险费率厘定等有关问题的通知,保监发[2010]33号,,—,—,,,,,,0,未在五源cleaned收录
RFN-022b955f878c1de1,T8机构准入与组织监管,关于印发《寿险公司非现场监管规程（试行）》的通知,保监发〔2006〕5号,nfra,INCLUDE,高,人寿保险公司|健康保险|养老保险公司|寿险,,,,[title]…关于印发《寿险公司非现场监管规程（试行）》的通知 保监发〔2006〕5号。各保监局：。为规范寿险公司非现场监管工作，提高非现…,10911,已提取-可全文
RFN-02a4b14ceb0df951,T5资金运用与资产负债管理,中国银保监会办公厅关于印发银行业保险业贯彻落实《国务院关于支持山东深化新旧动能转换推动绿色低碳高质量发展的意见》实施意见的通知,银保监办发[2023]11号,nfra,BOUNDARY,低,健康保险|养老保险|养老保险公司,,,保险经纪机构|信托公司|再保险公司|商业银行|金融资产|银行业,[body]…。推动山东第三支柱养老保险规范发展，稳步推进专属养老保险等试点，支持山东合格机构设立理财子公司，支持符合条件的养老保险公司等专业机构在山东设立分支机构。鼓励保险机构参与山东长期护理保险试点，积极发展商业医疗保险，持续提升城市定制型医…,11980,已提取-可全文
RFN-02c6c20ac0c9ff87,T5资金运用与资产负债管理,中国银保监会关于修改保险资金运用领域部分规范性文件的通知,银保监发[2021]47号,nfra,BOUNDARY,低,,,保险公司|保险机构|保险资产管理|保险资金,金融资产,[title]…中国银保监会关于修改保险资金运用领域部分规范性文件的通知 各保险集团（控股）公司、保险公司、保险资产管理公司：为进一步深化“放管服”改革，…,4356,已提取-可全文
RFN-0342cae3577bd20a,T1销售行为与消费者保护,保险产品适当性管理自律规范,中保协 2026-03-27,,—,—,,,,,,0,未在五源cleaned收录
RFN-03621fb1f3febd36,T4公司治理与股权关联交易,中国保监会关于印发《保险资金运用内控与合规计分监管规则》的通知,保监发〔2014〕54号,nfra,BOUNDARY,低,,,保险公司|保险机构|保险资产管理|保险资金|偿付能力,,[title]…中国保监会关于印发《保险资金运用内控与合规计分监管规则》的通知 保监发〔2014〕54号。各保险集团（控股）公司、保险公司、保险资产管理公…,8926,已提取-可全文
RFN-036cfead5fc7b6dd,T2产品与精算制度,关于2005年末非寿险业务准备金评估有关要求的通知（已失效）,保监发〔2005〕113号,nfra,EXCLUDE,中,,,保险公司|偿付能力,再保险公司|财产保险公司,[meta]…关于2005年末非寿险业务准备金评估有关要求的通知（已失效） 保监发〔2005〕113号。各财产保险公司、再保险公司：。为做好2005会计年度末非寿险业务准备金评估工作，现将有关要求通知如下：。一、各公司务必按照《…,1571,已提取-可全文
RFN-03c5e9251ac78f85,T10数据治理与信息披露,关于印发《保险公司信息化工作管理指引（试行）》的通知,保监发〔2009〕133号,nfra,BOUNDARY,低,,,保险公司|保险资产管理|分支机构,,[title]…关于印发《保险公司信息化工作管理指引（试行）》的通知 保监发〔2009〕133号。各保监局，各保险公司、保险资产管理公司：。为加…,7269,已提取-可全文
RFN-041a2d1a8851bad6,T5资金运用与资产负债管理,关于保险机构投资无担保企业债券有关事宜的通知,保监发〔2009〕132号,nfra,BOUNDARY,低,,,保险公司|保险机构|保险资产管理|保险资金,,[title]…关于保险机构投资无担保企业债券有关事宜的通知 保监发〔2009〕132号。各保险公司、保险资产管理公司：。为加强无担保债券…,1477,已提取-可全文
RFN-0431c0ac1ebb6dde,T2产品与精算制度,中国保监会关于加强人身保险费率政策改革产品管理有关事项的通知,保监寿险〔2015〕136号,nfra,INCLUDE,高,人身保险|人身保险公司|寿险,,,,[title]…中国保监会关于加强人身保险费率政策改革产品管理有关事项的通知 保监寿险〔2015〕136号。各人身保险公司：。为深入推进人身保险产品费率…,2506,已提取-可全文
RFN-043b3b9f875acdaf,T0上位法锚点,中华人民共和国数据安全法,,supp,BOUNDARY,低,,,保险销售,,[meta]…中华人民共和国数据安全法 数据安全基础法律：数据分类分级保护、数据安全审查、重要数据保护；保险销售数据安全与可回溯数据管理直接上位法（正文待获取，_sources 就绪后重跑摄取自动回填）。 全国人民代表大会…,11405,已提取-可全文
RFN-04631cd5896472e2,T5资金运用与资产负债管理,关于保险公司投资可转换公司债券有关事项的通知（已废止）,保监发〔2004〕94号,nfra,BOUNDARY,低,,,保险公司|保险资产管理|保险资金,,[title]…关于保险公司投资可转换公司债券有关事项的通知（已废止） 保监发〔2004〕94号。各保险公司，各保险资产管理公司：。为贯彻…,1289,已提取-可全文
RFN-056f840f7fddf0fe,T10数据治理与信息披露,国家金融监督管理总局办公厅关于印发《银行业保险业数字金融高质量发展实施方案》的通知,金办发[2025]95号,nfra,BOUNDARY,低,,,保险公司|保险资产管理|分支机构,金融资产|银行业,[meta]…型银行、股份制银行、外资银行、直销银行、金融资产管理公司、金融资产投资公司、理财公司，各保险集团（控股）公司、保险公司、保险资产管理公司、养老金管理公司：现将《银行业保险业数字金融高质量发展实施方案》印发给你们，请加强组织实施，…,13335,已提取-可全文
RFN-065949029b3a294c,T1销售行为与消费者保护,关于实施农村保险营销员资格分类管理有关事宜的通知,保监发〔2008〕17号,nfra,INCLUDE,中,,保险营销员,万能保险|保险产品|保险公司|保险机构|保险营销|保险销售,,[title]…关于实施农村保险营销员资格分类管理有关事宜的通知 保监发〔2008〕17号。各保监局：。为探索建立农村保险营销员资格管理的长效机制，…,4477,已提取-可全文
RFN-0660a162ce940799,T4公司治理与股权关联交易,中国人民银行 国家金融监督管理总局关于印发《系统重要性保险公司评估办法》的通知（银发〔2023〕208号）,银发〔2018〕301号,pbc,INCLUDE,中,人身保险公司,,,再保险公司|财产保险公司|金融资产,[body]…监管，以降低其发生重大风险的可能性，防范系统性金融风险。 （二）适用范围。本办法适用于依法设立的保险集团公司、人身保险公司、财产保险公司和再保险公司。2家或2家以上保险公司组成保险集团公司的，以保险集团公司作为参评主体。 评估使用的…,5960,已提取-可全文
RFN-066a224049dcdc3c,T2产品与精算制度,关于增值税征税具体范围有关事项的公告,财政部 税务总局公告2026年第9号,mof,EXCLUDE,—,,,,,,597,已提取-可全文
