监管文件编号,主题,文件名,发文字号,状态,说明
RFN-012051479f38bb44,T8机构准入与组织监管,关于保险公司地市级分支机构命名等有关问题的批复,保监法规[2007]1497号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-01f0ad6d44e1fe03,T2产品与精算制度,关于普通型定期寿险、普通型终身寿险费率厘定等有关问题的通知,保监发[2010]33号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-0342cae3577bd20a,T1销售行为与消费者保护,保险产品适当性管理自律规范,中保协 2026-03-27,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-0a88218a43d6dc15,T3资本与偿付能力监管,中华人民共和国增值税法,N/A,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-0e6d9c69e4edbc7d,T0上位法锚点,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（二）,N/A,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-12ec06650d1a1479,T4公司治理与股权关联交易,保险机构资金运用关联交易自律规则,中国保险行业协会　2024年1月,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-181834bcb8e6bdfc,T1销售行为与消费者保护,关于规范银行代理渠道保险产品的通知,2023年,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-26b5064bb2b4a3bd,T7反洗钱与反恐怖融资,中国人民银行关于印发银行业、证券期货业、保险业大额交易和可疑交易报告数据报送接口规范的通知,银发[2008]248号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-2c5e83fa905aa605,T4公司治理与股权关联交易,中国保监会关于印发《保险集团并表监管指引》的通知,保监发[2014]96号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-39e70f33653e140c,T7反洗钱与反恐怖融资,中国人民银行关于进一步加强金融机构反洗钱工作的通知(银发〔2008〕391号),银发〔2008〕391号,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-3ca8855e25c015c3,T5资金运用与资产负债管理,保险公司投资管理能力信息披露自律管理准则(试行),,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-40ac1a9fcbd30967,T7反洗钱与反恐怖融资,关于加强联合国安理会制裁决议名单管理和FATF公布的高风险国家或地区客户管理的风险提示,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-49745450d2099735,T7反洗钱与反恐怖融资,中国人民银行关于明确可疑交易报告制度有关执行问题的通知,银发[2010]48号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-4ee952d21944ab4d,T5资金运用与资产负债管理,保险资产管理业从业人员职业操守和行为准则,（中国保险资产管理业协会　2023年4月）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-51f149a2c6b49e3f,T7反洗钱与反恐怖融资,中国人民银行关于进一步严格大额交易和可疑交易报告报送情况的通报,银发[2009]123号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-52aa9120bc5387cc,T5资金运用与资产负债管理,中国保险资产管理业协会自律评价管理办法,（中国保险资产管理业协会2023年4月）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-56bd950dc33c0751,T10数据治理与信息披露,公开发行证券的公司信息披露编报规则第4号——保险公司信息披露特别规定(2024年修订),中国证券监督管理委员会公告（〔2024〕10号）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-59ace91697b74b57,T5资金运用与资产负债管理,关于印发《保险资金股权投资信息报告监管口径》的通知,资金部函（2018）35号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-5c48b19fb517126a,T4公司治理与股权关联交易,关于外资保险公司关联交易范围界定问题的复函,保监厅函[2008]280号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-5e20e46825f7932a,T5资金运用与资产负债管理,关于加强保险资金股权投资事后报告监管机制有关事项的通知,资金部函〔2018〕34,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-5e4d297bde39f562,T9风险处置与案件合规,最高人民法院最高人民检察院关于印发《关于办理商业贿赂刑事案件适用法律若干问题的意见》的通知,二OO八年十一月二十日下发,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-6607550074f51efa,T8机构准入与组织监管,保险公司管理规定（2015修订）,中国保险监督管理委员会令2015年第3号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-6d60dc2df66d2260,T5资金运用与资产负债管理,中华人民共和国证券法,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-70c43b7d3cf54999,T10数据治理与信息披露,国家金融监督管理总局办公厅关于银行保险机构侵害个人信息权益乱象专项整治发现主要问题的通报,金办发[2024]25号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-70c6d2f88efc9684,T9风险处置与案件合规,关于禁止商业贿赂行为的暂行规定,国家工商行政管理局令第60号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-74b1a1c1af6fe254,T2产品与精算制度,关于推荐使用《人身保险产品条款部分条目示范写法》的通知,中保协发[2009]161号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-76cc011d21ed3195,T4公司治理与股权关联交易,财政部 证监会 审计署 银监会 保监会关于印发《企业内部控制基本规范》的通知,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-7ec32a236e309d62,T7反洗钱与反恐怖融资,中国人民银行关于印发《保险业大额交易和可疑交易报告要素释义》和《保险业大额交易和可疑交易报告数据报送接口规范[试行]》的通知,银发[2007]34号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-81935050acb430e5,T6养老与健康保险专项,关于保险公司开展个人养老金业务有关工作提示,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-852c15ce86dd9c4d,T2产品与精算制度,《重大疾病保险的疾病定义使用规范（2020年修订版）》,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-8ad9ae930359b260,T7反洗钱与反恐怖融资,中国人民银行令〔2021〕第3号（金融机构反洗钱和反恐怖融资监督管理办法）,中国人民银行令〔2021〕第3号,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-8b8a8d5a0cf8dbb0,T9风险处置与案件合规,中华人民共和国反不正当竞争法,N/A,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-8faaef0d177f0833,T2产品与精算制度,国家金融监督管理总局办公厅关于平稳有序做好人身保险产品切换有关工作的通知,金办便函〔2024〕1001号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-905dd958d5b846cb,T4公司治理与股权关联交易,保险公司资金运用关联交易管理制度标准,中国保险行业协会　2024年1月,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-936a1959c84fb2c5,T0上位法锚点,中华人民共和国公司法,N/A,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-95cbe708c5480faa,T0上位法锚点,最高人民法院关于适用《中华人民共和国保险法》若干问题的解释（三）,N/A,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-9e622ad84f805d10,T4公司治理与股权关联交易,中国保险行业协会关于印发《保险公司股东权利义务手册》的通知,中保协发〔2022〕12号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-a0259cf4cfd30d55,T9风险处置与案件合规,中华人民共和国刑法,N/A,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-a9fedb44d9d78bda,T5资金运用与资产负债管理,转发中国人民银行关于商业银行对外资保险公司办理人民币协议存款业务的利率等相关问题的通知,保监发[2005]23号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-b1cbe84836cab870,T2产品与精算制度,《关于分红险分红水平监管意见的函》,金寿险函〔2025〕374号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-b34fbb60ffbcad24,T7反洗钱与反恐怖融资,中国人民反洗钱局关于印发《法人金融机构洗钱和恐怖融资风险管理指引（试行）》的通知,银反洗发[2018]19号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-b49620ff58101c1f,T4公司治理与股权关联交易,关于重大关联交易认定有关事宜的复函,保监发改[2010]1199号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-baaf0465f25ad2db,T6养老与健康保险专项,个人养老金实施办法,人力资源社会保障部 财政部 国家税务总局 银保监会 证监会令2022年第1号（人社部发〔2022〕70号）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-c0276de758b9f668,T5资金运用与资产负债管理,中国保险资产管理业协会自律监督检查工作暂行办法,（中国保险资产管理业协会2023年4月）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-c6521cc354fb98c3,T7反洗钱与反恐怖融资,中国人民银行办公厅关于进一步加强金融机构和支付机构反恐怖融资工作的通知,银办发[2014]62号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-ce7a37583a65d386,T7反洗钱与反恐怖融资,中国人民银行办公厅关于进一步加强银行卡业务反洗钱工作的通知,银办发[2009]151号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-cfaaba2b946ea10a,T9风险处置与案件合规,行政处罚法、行政许可法、治安管理处罚法,,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-cffdc0fb0ba21a2c,T9风险处置与案件合规,中华人民共和国反垄断法,N/A,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-d638f279529ea78c,T7反洗钱与反恐怖融资,中国人民银行关于加强反洗钱客户身份识别有关工作的通知（银发〔2017〕235号）,银发〔2017〕235号,已提取-缺正文,五源cleaned中对应记录正文缺失(N/A)
RFN-db229545ea3af41c,T2产品与精算制度,中国银行保险监督管理委员会人身保险监管部关于印发人身保险产品“负面清单”（2021版）的通知,人身险部函〔2021〕31号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-e4fa67e6508db993,T5资金运用与资产负债管理,中国人民银行公开市场业务公告〔2024〕第6号—关于接受符合条件的证券、基金、保险公司申报的公告,中国人民银行公开市场业务公告（〔2024〕第6号）,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-e606f42bed9a08df,T3资本与偿付能力监管,财政部 国家税务总局关于人寿保险业务免征营业税若干问题的通知（部分失效）,财税[2001]118号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
RFN-f58d1c0e8ee56049,T1销售行为与消费者保护,金融产品网络营销管理办法,人民银行等八部门公告〔2026〕第9号,未在五源cleaned收录,未在五源cleaned收录（外部/行业自律/文号格式异常）
