监管文件编号,主题,文件名,发文字号,匹配源,决策,置信度,A强信号关键词,B销售代理关键词,C泛化关键词,X排除关键词,命中摘录,可用正文长度,全文状态
RFN-T1-001,T1销售行为与消费者保护,关于印发《保险兼业代理管理暂行办法》的通知,保监发[2000]144号,nfra,BOUNDARY,低,人身保险,保险兼业代理,,保险经纪,[body]…监会认定的其他损害保险人、投保人和被保险人利益的行为。 第十九条 保险兼业代理人向保险公司投保自身的财产保险或人身保险，视为保险公司直接承保业务，保险兼业代理人不得提取代理手续费。 第二十条 保险兼业代理合同的代理期限以合同订立…,4175,已提取-可全文
RFN-T1-002,T1销售行为与消费者保护,关于分红保险销售人员从业年限条件的通知（已废止）,保监发[2000]252号,nfra,INCLUDE,中,人寿保险|人寿保险公司|寿险,,,,[body]…保监发[2000]252号。 N/A 政策规章规范性文件 N/A N/A 保监发[2000]252 号 中国人寿保险公司、 中国太平洋保险公司、 中国平安保险股份有限公司、 新华人寿保险股份有限公司、 泰康人寿保险股份有限公司、…,766,已提取-可全文
RFN-T1-003,T1销售行为与消费者保护,关于规范人身保险经营行为有关问题的通知（已废止）,保监发[2000]133号,nfra,INCLUDE,高,人身保险|寿险,,,,[title]…关于规范人身保险经营行为有关问题的通知（已废止） 保监发[2000]133号。各寿险公司，中国平安保险股份有限公司、中国太平洋…,6507,已提取-可全文
RFN-T1-004,T1销售行为与消费者保护,关于贯彻执行保险中介机构管理规定有关问题的通知,保监发〔2001〕195号,nfra,EXCLUDE,中,,,保单|保险公司,保险中介机构|保险公估,[title]…关于贯彻执行保险中介机构管理规定有关问题的通知 保监发〔2001〕195号。各保监办：。保险中介机构管理规定已经发布，现就有关问题通知…,1685,已提取-可全文
RFN-T1-005,T1销售行为与消费者保护,关于调整投资连结保险销售人员资格限制的通知（已失效）,保监发〔2001〕137号,nfra,INCLUDE,中,寿险,,,,[meta]…关于调整投资连结保险销售人员资格限制的通知（已失效） 保监发〔2001〕137号。各保监办、各寿险公司：。为了促进投资连结保险市场的进一步发展，经研究，我会决定取消《投资连结保险管理暂行办法》中对投资连结保险…,609,已提取-可全文
RFN-T1-006,T1销售行为与消费者保护,关于加强保险代理业务管理有关问题的通知,保监发〔2001〕158号,nfra,BOUNDARY,低,,,保单|保险公司|分支机构,,[meta]…关于加强保险代理业务管理有关问题的通知 保监发〔2001〕158号。各保险公司，各保监办：。为规范保险代理机构的市场行为，明确保险公司对保险代理机构的管理责任，强化保险公司对保险代理业务的…,1827,已提取-可全文
RFN-T1-007,T1销售行为与消费者保护,关于加强新型产品销售管理工作的紧急通知（已失效）,保监发〔2002〕35号,nfra,INCLUDE,中,人身保险|寿险,,,,[meta]…关于加强新型产品销售管理工作的紧急通知（已失效） 保监发〔2002〕35号。各寿险公司：。为适应市场发展需要，各寿险公司相继推出分红产品、投资连结产品以及万能产品等新型产品，对促进寿险业的发展…,1304,已提取-可全文
RFN-T1-008,T1销售行为与消费者保护,关于执行《保险公司营销服务部管理办法》有关事项的通知,保监发〔2002〕25号,nfra,INCLUDE,中,寿险,,,,[meta]…格按照《办法》审批保险公司新设立的营销服务部。二、各保监办要责成各保险公司对《办法》颁布前设立的农村代办站所、寿险营销部、营销员管理处等保险营销服务网点进行清理。 N/A 政策规章规范性文件 N/A N/A 保监发〔2002…,1283,已提取-可全文
RFN-T1-009,T1销售行为与消费者保护,《保险公司营销服务部管理办法》废止令（中国保险监督管理委员会令2009年第2号）,保监会令〔2002〕1号,nfra,BOUNDARY,低,,,保险公司,,[title]…《保险公司营销服务部管理办法》废止令（中国保险监督管理委员会令2009年第2号） 中国保险监督管理委员会令2009年第2…,678,已提取-可全文
RFN-T1-010,T1销售行为与消费者保护,关于保险兼业代理机构外设网点合规性等问题的复函,保监办函〔2003〕136号,nfra,INCLUDE,中,,保险兼业代理,,,[title]…关于保险兼业代理机构外设网点合规性等问题的复函 保监办函〔2003〕136号。上海保监办：。你办《关于如何认定兼业代理机构外设…,693,已提取-可全文
