唯一键,监管文件编号,文件名称,发文字号,文件指纹,登记时间
保监消保2017265,RFN-5cd130f376ba34d9,关于落实《保险销售行为可回溯管理暂行办法》有关事项的通知,保监消保〔2017〕265号,,2026-08-26 21:13:35
MD5:575012526a42fb1af737336ff961ce78,RFN-0a354aa38c08bc67,中华人民共和国个人信息保护法,,575012526a42fb1af737336ff961ce78,2026-08-26 21:13:35
MD5:7b8fcd1bc348b0fbefe22ac8747f1e05,RFN-74a3e0f2c57f7302,中华人民共和国广告法,,7b8fcd1bc348b0fbefe22ac8747f1e05,2026-08-26 21:13:35
MD5:20a16acd16d843ab5dde33cb82758813,RFN-043b3b9f875acdaf,中华人民共和国数据安全法,,20a16acd16d843ab5dde33cb82758813,2026-08-26 21:13:35
国办发201581,RFN-5f0f7ab9a050cd56,国务院办公厅关于加强金融消费者权益保护工作的指导意见,国办发〔2015〕81号,,2026-08-26 21:13:35
银监办发2008274,RFN-600b25ea909a0d88,中国银监会办公厅关于商业银行开展代理销售基金和保险产品相关业务风险提示的通知,银监办发〔2008〕274号,13b478a906d7ab9c67a12e4721646a0003d9a5293e91f9890a4110a7ba8515e4,2026-08-27 17:50:20
测试发20261,RFN-344cac5f135b22be,来源标记测试文件,测试发〔2026〕1号,,2026-08-28 19:15:15
MD5:78c2352a23968ee5e08572e9f897056a,RFN-a3cd627cf001d29f,中国银保监会2022年规章立法工作计划,N/A,,2026-08-29 04:27:32
保监资金2016104,RFN-bc833e59561e17f2,中国保监会关于加强组合类保险资产管理产品业务监管的通知,保监资金〔2016〕104号,,2026-08-29 04:27:32
保监发201524,RFN-f067602094af5b93,中国保监会关于保险资产管理产品风险责任人有关事项的通知,保监发〔2015〕24号,,2026-08-29 04:27:32
保监发200042,RFN-f52a53c26da1588a,人身保险公司保险条款和保险费率管理办法,保监发〔2000〕42号,,2026-08-29 04:27:32
保监发200959,RFN-1011cd4b926d9c63,关于进一步扩大农村小额人身保险试点的通知,保监发〔2009〕59号,,2026-08-29 04:27:32
保监发200847,RFN-224a51c406448328,关于印发《农村小额人身保险试点方案》的通知,保监发〔2008〕47号,,2026-08-29 04:27:32
保监发200843,RFN-251d4f272a4388ea,关于人身保险产品税收宣传有关事项的通知（已废止）,保监发〔2008〕43号,,2026-08-29 04:27:32
MD5:8a2456ce3d15e3dd75f7ac6ddb45b8f2,RFN-597cce52d6ec9560,关于对取得国外精算师资格的拟任总精算师进行考核的通知（已失效）,N/A,,2026-08-29 04:27:32
保监发200792,RFN-e148bbd7c66d00bf,关于加强保险中介业务管理防范保险诈骗的通知（已失效）,保监发〔2007〕92号,,2026-08-29 04:27:32
保监发200636,RFN-6d1414017a5fe7d6,关于对人身保险条款及费率进行自查自纠的通知（已失效）,保监发〔2006〕36号,,2026-08-29 04:27:32
保监统信2006264,RFN-0d0e35388992d940,关于启用保险稽核软件系统的通知（已失效）,保监统信〔2006〕264号,,2026-08-29 04:27:32
保监发200620,RFN-ab555a753eb70714,关于防范利用保险进行诈骗的通知（已废止）,保监发〔2006〕20号,,2026-08-29 04:27:32
保监财会20051173,RFN-c5f6136678718632,关于提取资本保证金的批复,保监财会〔2005〕1173号,,2026-08-29 04:27:32
保监厅函2005227,RFN-383fc385412254ec,关于铁路旅客意外伤害强制保险的复函,保监厅函〔2005〕227号,,2026-08-29 04:27:32
保监发200562,RFN-dcff50c66c932098,关于规范团体保险经营行为有关问题的通知,保监发〔2005〕62号,,2026-08-29 04:27:32
保监发200429,RFN-30db7bb8ad56799b,关于严禁协助境外保险公司推销地下保单有关问题的通知,保监发〔2004〕29号,,2026-08-29 04:27:32
保监发2003119,RFN-0e7ea628db199ba9,关于警惕和防范非法保险经营行为和保险诈骗活动的紧急通知（已废止）,保监发〔2003〕119号,,2026-08-29 04:27:32
保监办发200214,RFN-f6400e9a60d05a69,关于印发我国加入WTO法律文件有关保险业内容的通知,保监办发〔2002〕14号,,2026-08-29 04:27:32
保监发2002134,RFN-db5013179a2ae3be,关于加强航空意外保险规范管理有关问题的通知（已废止）,保监发〔2002〕134号,,2026-08-29 04:27:32
保监函2002119,RFN-cf85f0dc63c22f2f,关于在兼业代理网点销售人身保险新型产品的批复,保监函〔2002〕119号,,2026-08-29 04:27:32
保监发200183,RFN-70ba4bc78d6148b7,关于人寿保险公司报送人身保险业务季度分析有关情况的通知,保监发[2001]83号,,2026-08-29 04:27:33
保监寿200019,RFN-0cac56cb6ca84165,关于建立分红保险、投资连接保险报告制度的批复,保监寿[2000]19号,,2026-08-29 04:27:33
保监复1999168,RFN-1fde854770f62ca5,关于保险条款中有关违法犯罪行为作为除外责任含义的批复,保监复[1999]168号,,2026-08-29 04:27:33
保监厅发200450,RFN-0cfbb1fed4a02f5f,关于调整保险代理从业人员基本资格考试有关事项的通知（已失效）,保监厅发〔2004〕50号,,2026-08-29 04:27:33
保监办函2003227,RFN-30290a24b798f004,关于保险公司分支机构相互代理保险业务有关问题的复函,保监办函〔2003〕227号,,2026-08-29 04:27:33
保监发199957,RFN-78973110e538451c,关于人身保险产品宣传有关问题的通知（已失效）,保监发[1999]57号,,2026-08-29 04:27:33
保监发200181,RFN-12c808c0aa98c712,关于印发保险机构许可证编码方案的通知,保监发[2001]81号,,2026-08-29 04:27:33
保监复1999256,RFN-1875a1d068ecadf9,关于索赔期限有关问题的批复,保监复[1999]256号,,2026-08-29 04:27:33
保监统信20051055,RFN-28fa90ee667b8e96,关于在保险行业内发布部分保险统计汇总数据的通知（已废止）,保监统信〔2005〕1055号,,2026-08-29 04:27:33
保监中介20051035,RFN-6556e0d430a80454,关于保险公司代理销售企业年金有关问题的函,保监中介〔2005〕1035号,,2026-08-29 04:27:33
保监厅函2005199,RFN-d54da4b489cc13c6,关于保险公司员工非正常购买保险行为定性问题的复函,保监厅函〔2005〕199号,,2026-08-29 04:27:33
保监发200595,RFN-3a158f66a8d6e6b6,关于完善保险业参与新型农村合作医疗试点工作的若干指导意见（已废止）,保监发〔2005〕95号,,2026-08-29 04:27:33
保监财会2005877,RFN-b0f7df910c31db95,关于提取资本保证金的批复,保监财会〔2005〕877号,,2026-08-29 04:27:33
保监财会2005868,RFN-bfa7525047bb4233,关于招商信诺人寿保险有限公司资本保证金处置的批复,保监财会〔2005〕868号,,2026-08-29 04:27:33
保监寿险2005867,RFN-89617aa386e8aaf9,关于投资连结型团体年金保险、万能型团体年金保险风险保额有关问题的批复,保监寿险〔2005〕867号,,2026-08-29 04:27:33
保监厅发200577,RFN-1d8012044cbd535b,关于做好保险稽核系统接口程序准备工作的通知（已失效）,保监厅发〔2005〕77号,,2026-08-29 04:27:33
保监厅函2004194,RFN-f823e15885305b69,关于一年期以上人身保险业务不宜征收地方教育发展费的复函,保监厅函〔2004〕194号,,2026-08-29 04:27:33
保监发200050,RFN-5cc9c04602c81f26,关于印发《长期健康险法定分保条件》的通知,保监发[2000]50号,,2026-08-29 04:27:33
保监发200029,RFN-66248391c74d74e7,关于印发《人身险法定分保条件实施细则》的通知,保监发[2000]29号,,2026-08-29 04:27:33
银发2018301,RFN-0660a162ce940799,中国人民银行 国家金融监督管理总局关于印发《系统重要性保险公司评估办法》的通知（银发〔2023〕208号）,银发〔2018〕301号,,2026-08-29 04:27:33
中华人民共和国国务院令第822,RFN-f916174f1bc87898,森林草原防灭火条例,中华人民共和国国务院令第822号,,2026-08-29 04:27:34
财政部税务总局公告2026年第10,RFN-d9c806f538c7459e,关于增值税法施行后增值税优惠政策衔接事项的公告,财政部 税务总局公告2026年第10号,,2026-08-29 04:27:34
财政部税务总局公告2026年第9,RFN-066a224049dcdc3c,关于增值税征税具体范围有关事项的公告,财政部 税务总局公告2026年第9号,,2026-08-29 04:27:34
金规202522,RFN-cd2607bcb3975e8c,国家金融监督管理总局关于部分规范性文件废止和宣布失效的通知,金规[2025]22号,,2026-08-29 04:27:34
金发202411,RFN-319734397c70c567,国家金融监督管理总局关于银行业保险业做好金融“五篇大文章”的指导意见,金发[2024]11号,,2026-08-29 04:27:34
金规20233,RFN-37efb918591eff7f,国家金融监督管理总局 人力资源社会保障部关于印发精算师职业资格规定和精算师职业资格考试实施办法的通知,金规[2023]3号,,2026-08-29 04:27:34
银保监办发202311,RFN-02a4b14ceb0df951,中国银保监会办公厅关于印发银行业保险业贯彻落实《国务院关于支持山东深化新旧动能转换推动绿色低碳高质量发展的意见》实施意见的通知,银保监办发[2023]11号,,2026-08-29 04:27:34
银保监发202211,RFN-880a34fa8a87cd4a,中国银保监会关于印发保险业标准化“十四五”规划的通知,银保监发[2022]11号,,2026-08-29 04:27:34
银保监办发202235,RFN-8d93a321dad29046,中国银保监会办公厅关于2022年银行业保险业服务全面推进乡村振兴重点工作的通知,银保监办发[2022]35号,,2026-08-29 04:27:34
MD5:6cc8a9724218bc03a0f97550e7267f2f,RFN-1a58e6f945058610,中国银保监会关于修改《中华人民共和国外资保险公司管理条例实施细则》的决定,N/A,,2026-08-29 04:27:34
银保监办发202028,RFN-0f42203bec02632a,中国银保监会办公厅关于加强产业链协同复工复产金融服务的通知,银保监办发[2020]28号,,2026-08-29 04:27:34
银保监发20204,RFN-efa0f809bf932c9e,中国银保监会 发展改革委 教育部 民政部 司法部 财政部 人力资源社会保障部 自然资源部 住房城乡建设部 商务部 卫生健康委 税务总局 医保局关于促进社会服务领域商业保险发展的意见,银保监发[2020]4号,,2026-08-29 04:27:34
中国银行保险监督管理委员会令20194,RFN-b53296b4adf450b5,中华人民共和国外资保险公司管理条例实施细则,中国银行保险监督管理委员会令[2019]4号,,2026-08-29 04:27:34
保监发20189,RFN-f9179729195a004b,中国保监会关于印发《打赢保险业防范化解重大风险攻坚战的总体方案》的通知,保监发〔2018〕9号,,2026-08-29 04:27:34
保监统信2017274,RFN-9c7558e2640f5f38,中国保监会关于印发《保险扶贫统计制度（试行）》的通知,保监统信〔2017〕274号,,2026-08-29 04:27:34
保监人身险2017209,RFN-3892677cdf5d7ecc,中国保监会办公厅关于启动中国保险业保单登记管理信息平台第三期建设的通知,保监人身险〔2017〕209号,,2026-08-29 04:27:34
MD5:ee15a162d79eef5c6ddf559a55f874b4,RFN-afb646fee1fa0c25,国家税务总局 财政部 中国人民银行 银监会 证监会 保监会关于发布《非居民金融账户涉税信息尽职调查管理办法》的公告,N/A,,2026-08-29 04:27:34
保监发201738,RFN-b79fa64e25fb0507,中国保监会关于保险业服务“一带一路”建设的指导意见,保监发〔2017〕38号,,2026-08-29 04:27:34
保监发201674,RFN-8d034d52a8baa74e,中国保监会关于印发《中国保险业发展“十三五”规划纲要》的通知,保监发〔2016〕74号,,2026-08-29 04:27:35
保监发201673,RFN-209a68b6d192b73d,中国保监会关于印发《中国保险业标准化“十三五”规划》的通知,保监发〔2016〕73号,,2026-08-29 04:27:35
保监发201644,RFN-b9704a30ab4640f6,中国保监会 国务院扶贫开发领导小组办公室关于做好保险业助推脱贫攻坚工作的意见,保监发〔2016〕44号,,2026-08-29 04:27:35
保监中介201644,RFN-979909a99a339372,关于银行类保险兼业代理机构行政许可有关事项的通知,保监中介〔2016〕44号,,2026-08-29 04:27:35
保监发20169,RFN-15eb0a496c71325e,中国保监会关于调整保险业监管费收费标准等有关事项的通知,保监发〔2016〕9号,,2026-08-29 04:27:35
保监厅发201583,RFN-0954ada2061d54e9,中国保监会办公厅、北京市金融工作局、北京市石景山区人民政府关于印发《关于加快推动北京保险产业园创新发展的实施办法》的通知,保监厅发〔2015〕83号,,2026-08-29 04:27:35
保监发2015123,RFN-4e3131787e5a2f80,中国保监会关于保险业履行社会责任的指导意见,保监发〔2015〕123号,,2026-08-29 04:27:35
保监发201565,RFN-90253ef97fd4f33e,中国保监会 天津市人民政府关于加强保险业服务天津自贸试验区建设和京津冀协同发展等重大国家战略的意见,保监发〔2015〕65号,,2026-08-29 04:27:35
保监发201516,RFN-b589e0692561ef42,中国保监会 国家发展改革委关于印发《中国保险业信用体系建设规划（2015－2020年）》的通知,保监发〔2015〕16号,,2026-08-29 04:27:35
保监党委发201423,RFN-df26d096b13a54d4,关于印发《中共中国保监会委员会贯彻落实中共中央〈建立健全惩治和预防腐败体系2013－2017年工作规划〉实施办法》的通知,保监党委发〔2014〕23号,,2026-08-29 04:27:35
保监发201425,RFN-07aafd48a9f30367,中国保监会关于印发《保险业服务新型城镇化发展的指导意见》的通知,保监发〔2014〕25号,,2026-08-29 04:27:35
保监发201423,RFN-bab6f1d840e8764e,中国保监会关于保险业对口支援江西省赣州市定南县等原中央苏区振兴发展的指导意见,保监发〔2014〕23号,,2026-08-29 04:27:35
保监发20143,RFN-2c6a41afa6f23bff,中国保监会 中国银监会关于进一步规范商业银行代理保险业务销售行为的通知,保监发〔2014〕3号,,2026-08-29 04:27:35
保监发201369,RFN-091f79fe4e660f39,中国保监会关于保险业支持经济结构调整和转型升级的指导意见,保监发〔2013〕69号,,2026-08-29 04:27:35
保监发201210,RFN-c73e81a28b76306a,关于调整保险业务监管费收费标准等有关事项的通知,保监发〔2012〕10号,,2026-08-29 04:27:35
保监发201169,RFN-20f83fe1fb0f39c5,中国保监会关于保险业参与加强和创新社会管理的指导意见,保监发〔2011〕69号,,2026-08-29 04:27:35
保监发201147,RFN-c906d3c0876f1680,关于印发《中国保险业发展“十二五”规划纲要》的通知,保监发〔2011〕47号,,2026-08-29 04:27:36
保监发2010109,RFN-5b2fa0008616d1cf,关于保险业支持文化产业发展有关工作的通知,保监发〔2010〕109号,,2026-08-29 04:27:36
