clean文号,clean标题,kind,matched_by,发文字号,建议,归属表文号,归属表标题,文件名称,文件来源,监管文件编号
中国保险监督管理委员会令〔2007〕第2号,中国人民银行 中国银行业监督管理委员会 中国证券监督管理委员会 中国保险监督管理委员会令〔2007〕第2号（金融机构客户身份识别和客户身份资料及交易记录保存管理办法）,C2,docno,,C2人工确认（同文号核心标题不同）,中国保险监督管理委员会令〔2007〕第2号,中国人民银行 国家金融监督管理总局 中国证券监督管理委员会令〔2025〕第11号（金融机构客户尽职调查和客户身份资料及交易记录保存管理办法）,,pbc,RFN-a416e99a11f00300
银保监发〔2018〕27号,中国银行保险监督管理委员会关于加强自媒体保险营销宣传行为管理的通知,C2,docno,,C2人工确认（同文号核心标题不同）,银保监发〔2018〕27号,关于加强自媒体营销宣传行为管理的通知,,supp,RFN-456cbc25ed7abfd4
银保监办发〔2019〕71号,中国银保监会办公厅关于开展保险公司销售从业人员执业登记数据清核工作的通知,C2,docno,,C2人工确认（同文号核心标题不同）,银保监办发〔2019〕71号,《关于开展保险公司销售从业人员执业登记数据清核工作的通知》,,supp,RFN-0101b070be1f1aa2
银保监办便函〔2021〕477号,中国银保监会办公厅关于深入开展人身保险市场乱象治理专项工作的通知,C2,docno,,C2人工确认（同文号核心标题不同）,银保监办便函〔2021〕477号,关于深入开展人身保险市场乱象治理专项工作的通知,,supp,RFN-aa19f65da57e5ec1
银保监办发〔2020〕59号,中国银保监会办公厅关于印发保险资金参与金融衍生产品交易办法等三个文件的通知,C2,docno,,C2人工确认（同文号核心标题不同）,银保监办发〔2020〕59号,保险资金参与国债期货交易规定,,nfra,RFN-a7c3b3863a4a088a
保监发〔2014〕110号,中国保监会关于印发《保险机构洗钱和恐怖融资风险评估及客户分类管理指引》的通知,C2,docno,,C2人工确认（同文号核心标题不同）,保监发[2014]110号,保险机构洗钱和恐怖融资风险评估及客户分类管理指引,,supp,RFN-5cab0874b0ade084
保监发〔2002〕138号,关于2003年年度报告编报工作有关问题的通知（已失效）,C2,docno,,C2人工确认（同文号核心标题不同）,保监发〔2002〕138号,关于做好2002年年度报告编报工作的通知,,nfra,RFN-a0df782531548881
公通字〔2007〕43号,信息安全等级保护管理办法,C2,docno,,C2人工确认（同文号核心标题不同）,公通字[2007]43号,信息安全等级保护管理办法[全文],,supp,RFN-7ca9431975f9d3dc
中国证券监督管理委员会公告〔2024〕10号,中国证券监督管理委员会公告（〔2024〕10号） 公开发行证券的公司信息披露编报规则第4号——保险公司信息披露特别规定（2024年修订）,C2,docno,,C2人工确认（同文号核心标题不同）,中国证券监督管理委员会公告（〔2024〕10号）,公开发行证券的公司信息披露编报规则第4号——保险公司信息披露特别规定(2024年修订),,supp,RFN-56bd950dc33c0751
保监发〔2000〕42号,关于印发《人身保险产品定名暂行办法》的通知,C2,docno,,C2人工确认（同文号核心标题不同）,保监发〔2000〕42号,人身保险公司保险条款和保险费率管理办法,,nfra,RFN-f52a53c26da1588a
中国保险监督管理委员会令〔2009〕2号,《保险公司营销服务部管理办法》废止令（中国保险监督管理委员会令2009年第2号）,legacy,title,,同名异版，人工复核是否登记新版,保监会令〔2002〕1号,《保险公司营销服务部管理办法》废止令（中国保险监督管理委员会令2009年第2号）,,nfra,RFN-5dee4a762b15b1ef
国发〔2006〕23号,关于保险中介市场发展的若干意见（已废止）,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2007〕107号,关于保险中介市场发展的若干意见（已废止）,,nfra,RFN-56eadda7a101a149
保监发〔2006〕70号,关于提示人身保险银邮代理业务风险的通知,legacy,title,,同名异版，人工复核是否登记新版,保监寿险〔2008〕576号,关于提示人身保险银邮代理业务风险的通知,,nfra,RFN-b9e94212a13f4880
国办发〔2008〕126号,关于加快业务结构调整进一步发挥保险保障功能的指导意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2009〕11号,关于加快业务结构调整进一步发挥保险保障功能的指导意见,,nfra,RFN-404b1753c48bdcd1
国发〔2014〕29号,关于印发《中国保监会关于加强保险消费者权益保护工作的意见》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2014〕89号,关于印发《中国保监会关于加强保险消费者权益保护工作的意见》的通知,,nfra,RFN-6025708b82d19a85
国发〔2014〕29号,中国保监会关于深化保险中介市场改革的意见,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2015〕91号,中国保监会关于深化保险中介市场改革的意见,,nfra,RFN-e334d8cce1f13776
国办发〔2015〕81号,中国保监会关于印发《保险销售行为可回溯管理暂行办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,保监发〔2017〕54号,中国保监会关于印发《保险销售行为可回溯管理暂行办法》的通知,,nfra,RFN-4ab1a1555817bbc8
银保监发〔2018〕23号,中国银行保险监督管理委员会关于印发《个人税收递延型商业养老保险业务管理暂行办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知银保监发〔2018〕23号,中国银行保险监督管理委员会关于印发《个人税收递延型商业养老保险业务管理暂行办法》的通知,,nfra,RFN-9d16004cb5c41e51
银保监办发〔2018〕45号,中国银行保险监督管理委员会办公厅关于印发人身保险公司《精算报告》编报规则的通知,legacy,title,,同名异版，人工复核是否登记新版,编报规则的通知银保监办发〔2018〕45号,中国银行保险监督管理委员会办公厅关于印发人身保险公司《精算报告》编报规则的通知,,nfra,RFN-2faa19cd0d52b724
国发〔2013〕35号,中国银保监会关于扩大老年人住房反向抵押养老保险开展范围的通知,legacy,title,,同名异版，人工复核是否登记新版,银保监发〔2018〕43号,中国银保监会关于扩大老年人住房反向抵押养老保险开展范围的通知,,nfra,RFN-1801df174a88699e
银保监发〔2018〕32号,中国银保监会关于印发《个人税收递延型商业养老保险资金运用管理暂行办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知银保监发〔2018〕32号,中国银保监会关于印发《个人税收递延型商业养老保险资金运用管理暂行办法》的通知,,nfra,RFN-4519bfab6d37349a
银保监发〔2018〕35号,中国银保监会关于印发《保险机构独立董事管理办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知银保监发〔2018〕35号,中国银保监会关于印发《保险机构独立董事管理办法》的通知,,nfra,RFN-723ff41eb9823b54
银保监发〔2018〕34号,中国银保监会关于印发《保险公司偿付能力监管规则——问题解答第1号：偿付能力监管等效框架协议过渡期内的香港地区再保险交易对手违约风险因子》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知银保监发[2018]34号,中国银保监会关于印发《保险公司偿付能力监管规则——问题解答第1号：偿付能力监管等效框架协议过渡期内的香港地区再保险交易对手违约风险因子》的通知,,nfra,RFN-19f7ec81e17cdf73
银保监发〔2018〕20号,中国银行保险监督管理委员会 财政部 人力资源社会保障部 税务总局关于印发《个人税收递延型商业养老保险产品开发指引》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知银保监发〔2018〕20号,中国银行保险监督管理委员会 财政部 人力资源社会保障部 税务总局关于印发《个人税收递延型商业养老保险产品开发指引》的通知,,nfra,RFN-2c2826f69b405f9f
国办发〔2015〕81号,中国银保监会办公厅关于开展银行保险机构侵害消费者权益乱象整治工作的通知,legacy,title,,同名异版，人工复核是否登记新版,中国银保监会办公厅关于开展银行保险机构侵害消费者权益乱象整治工作的通知银保监办发〔2019〕194号,中国银保监会办公厅关于开展银行保险机构侵害消费者权益乱象整治工作的通知,,nfra,RFN-8d08e4069595e6da
银保监发〔2019〕32号,中国银保监会关于印发《保险资产负债管理监管暂行办法》的通知,legacy,title,,同名异版，人工复核是否登记新版,的通知银保监发〔2019〕32号,中国银保监会关于印发《保险资产负债管理监管暂行办法》的通知,,nfra,RFN-47dbf8f341cf0db8
